CdAponOrNu;FZZ_URB_%;FZZ_RUR_%;FZZ_NAT_%;ID;Cod_Regiao;Cod_UF;TIPO;Cod_Mun
0;0,000000;1,474410;98,525590;3818;2;22;16;0
0;0,000000;2,427070;97,572930;3819;2;26;16;0
0;12,202970;0,000000;87,797030;3820;2;22;16;0
0;0,000000;68,907910;31,092090;3821;2;26;12;0
0;0,000000;3,845650;96,154350;3822;2;26;16;0
0;0,000000;69,531590;30,468410;3823;2;22;12;0
0;0,000000;16,406330;83,593670;3824;2;26;16;0
0;0,000000;97,866380;2,133620;3825;2;26;10;0
0;0,000000;100,000000;0,000000;3826;2;26;10;0
0;100,000000;0,000000;0,000000;3827;2;26;1;0
0;0,000000;0,000000;100,000000;3828;2;22;16;0
0;0,000000;0,000000;100,000000;3829;2;22;16;0
0;0,000000;100,000000;0,000000;3830;2;26;10;0
0;0,000000;0,000000;100,000000;3831;2;22;16;0
0;100,000000;0,000000;0,000000;3832;2;26;1;0
0;100,000000;0,000000;0,000000;3833;2;26;1;0
0;0,000000;100,000000;0,000000;3834;2;26;10;0
0;0,000000;0,000000;100,000000;3835;1;13;16;0
0;0,000000;0,000000;100,000000;3836;1;15;16;0
0;0,000000;77,754860;22,245140;3837;2;23;10;0
0;0,000000;100,000000;0,000000;3838;2;23;10;0
0;0,000000;100,000000;0,000000;3839;2;26;10;0
0;0,000000;23,723320;76,276680;3840;2;22;16;0
0;0,000000;11,048240;88,951760;3841;1;15;16;0
0;0,000000;21,221960;78,778040;3842;1;15;16;0
0;0,000000;0,000000;100,000000;3843;2;22;16;0
0;0,000000;100,000000;0,000000;3844;2;26;10;0
0;0,000000;0,000000;100,000000;3845;1;13;16;0
0;0,000000;0,257630;99,742370;3846;1;13;16;0
0;0,000000;0,000000;100,000000;3847;1;13;16;0
0;0,000000;0,000000;100,000000;3848;1;12;16;0
0;0,000000;100,000000;0,000000;3849;2;26;10;0
0;0,000000;0,000000;100,000000;3850;1;15;16;0
0;0,000000;100,000000;0,000000;3851;2;26;10;0
0;0,000000;0,000000;100,000000;3852;2;22;16;0
0;0,000000;57,155270;42,844730;3853;2;22;12;0
0;0,000000;9,135110;90,864890;3854;2;22;16;0
0;0,000000;54,385910;45,614090;3855;2;22;12;0
0;0,000000;65,505250;34,494750;3856;2;23;12;0
0;0,000000;0,308980;99,691020;3857;2;23;16;0
0;0,000000;24,259450;75,740550;3858;2;23;16;0
0;0,000000;0,000000;100,000000;3859;2;22;16;0
0;0,000000;0,000000;100,000000;3860;1;13;16;0
0;0,000000;0,046200;99,953800;3861;1;13;16;0
0;0,015670;0,300310;99,684010;3862;1;15;16;0
0;0,113750;0,608180;99,278070;3863;1;15;16;0
0;0,000000;0,085630;99,914370;3864;1;15;16;0
0;0,000000;0,000000;100,000000;3865;5;51;16;0
0;0,000000;0,459140;99,540860;3866;1;13;16;0
0;0,000350;0,715840;99,283800;3867;1;15;16;0
0;0,000000;0,006770;99,993230;3868;1;15;16;0
0;0,000000;0,621930;99,378070;3869;1;13;16;0
0;0,000000;38,029010;61,970990;3870;2;23;14;0
0;0,000000;86,794680;13,205320;3871;2;23;10;0
0;0,000000;32,361400;67,638600;3872;2;22;14;0
0;0,000000;0,000000;100,000000;3873;1;13;16;0
0;0,000000;100,000000;0,000000;3874;1;13;10;0
0;0,000000;100,000000;0,000000;3875;1;13;10;0
0;0,000000;100,000000;0,000000;3876;1;13;10;0
0;0,000000;100,000000;0,000000;3877;1;13;10;0
0;0,000000;0,754620;99,245380;3878;2;23;16;0
0;0,000000;100,000000;0,000000;3879;2;23;10;0
0;0,000000;40,883780;59,116220;3880;2;23;14;0
0;0,000000;41,710970;58,289030;3881;2;23;14;0
0;0,000000;0,000000;100,000000;3882;1;13;16;0
0;0,000000;4,807080;95,192920;3883;1;13;16;0
0;0,000000;48,448540;51,551460;3884;2;23;14;0
0;0,000000;100,000000;0,000000;3885;1;15;10;0
0;48,312500;51,687500;0,000000;3886;1;13;5;0
0;0,000000;100,000000;0,000000;3887;1;15;10;0
0;98,638350;1,361650;0,000000;3888;1;13;1;0
0;100,000000;0,000000;0,000000;3889;1;13;1;0
0;100,000000;0,000000;0,000000;3890;1;13;1;0
0;0,000000;100,000000;0,000000;3891;1;15;10;0
0;100,000000;0,000000;0,000000;3892;1;13;1;0
0;100,000000;0,000000;0,000000;3893;1;13;1;0
0;100,000000;0,000000;0,000000;3894;1;13;1;0
0;0,000000;0,000000;100,000000;3895;2;21;16;0
0;100,000000;0,000000;0,000000;3896;1;13;1;0
0;100,000000;0,000000;0,000000;3897;1;13;1;0
0;41,288430;58,711570;0,000000;3898;1;13;5;0
0;0,000000;66,397470;33,602530;3899;2;21;12;0
0;0,000000;100,000000;0,000000;3900;1;13;10;0
0;77,369920;22,630080;0,000000;3901;1;13;1;0
0;100,000000;0,000000;0,000000;3902;1;13;1;0
0;100,000000;0,000000;0,000000;3903;1;13;1;0
0;100,000000;0,000000;0,000000;3904;1;13;1;0
0;100,000000;0,000000;0,000000;3905;1;13;1;0
0;71,716210;0,000000;28,283790;3906;2;23;4;0
0;0,000000;0,000000;100,000000;3907;2;23;16;0
0;0,000000;1,224890;98,775110;3908;2;23;16;0
0;0,000000;13,786580;86,213420;3909;2;23;16;0
0;3,002610;87,637960;9,359430;3910;2;21;10;0
0;0,000000;0,000000;100,000000;3911;2;21;16;0
0;0,000000;0,000000;100,000000;3912;2;21;16;0
0;7,769030;24,329870;67,901100;3913;2;21;15;0
0;0,000000;0,000000;100,000000;3914;2;21;16;0
0;0,000000;0,000000;100,000000;3915;1;13;16;0
0;0,000000;0,000000;100,000000;3916;1;13;16;0
0;0,000000;56,786750;43,213250;3917;2;21;12;0
0;100,000000;0,000000;0,000000;3918;1;15;1;0
0;100,000000;0,000000;0,000000;3919;1;15;1;0
0;0,000000;24,443480;75,556520;3920;2;21;16;0
0;0,000000;100,000000;0,000000;3921;2;21;10;0
